id,title,reviews
31164,Il pomodoro,"[['89667', '8.0'], ['85794', '8.7']]"
40902,Зарядье,"[['200555', '9.0'], ['195535', '4.3'], ['193589', '4.7'], ['187005', '5.7'], ['175265', '3.3'], ['167377', '10'], ['165708', '8.7'], ['155035', '3.0'], ['110275', '7.0']]"
37688,Erwin. РекаМореОкеан,"[['201857', '1.7'], ['190883', '3.0'], ['183542', '3.7'], ['171813', '10'], ['84088', '7.0'], ['152127', '7.0'], ['120143', '8.3'], ['123851', '9.7'], ['121876', '7.7'], ['119776', '8.3'], ['92806', '10'], ['86960', '8.0'], ['87333', '1.0']]"
42883,Дом культур,"[['152305', '1.0'], ['190328', '7.0'], ['175060', '10'], ['175061', '10'], ['175060', '9.7'], ['175005', '10'], ['159674', '3.0']]"
33606,2.0,"[['89505', '8.3'], ['89247', '8.7']]"
31508,Яр,"[['116507', '7.7'], ['117212', '7.7'], ['117095', '8.0'], ['90968', '9.3'], ['90242', '9.3']]"
37563,Soho Country Club,"[['150692', '8.7'], ['155153', '4.3'], ['86748', '9.0'], ['86678', '8.7'], ['86677', '8.7'], ['86581', '7.3']]"
46723,Russian Wine Bar&Shop,"[['159894', '8.0'], ['186486', '5.3'], ['186159', '8.0'], ['185200', '5.3'], ['182394', '10']]"
35232,Руккола,"[['181137', '5.0'], ['163758', '5.7'], ['121877', '9.0'], ['119772', '8.0'], ['114978', '8.3'], ['91135', '9.7'], ['89449', '9.3']]"
30953,Санремо,"[['91530', '8.3'], ['88405', '8.0']]"
32149,Мимино,"[['119579', '7.7'], ['119521', '8.7'], ['119577', '7.7'], ['100846', '9.0'], ['92496', '8.3']]"
37750,Стражек,"[['118132', '8.3'], ['118533', '7.7'], ['118415', '7.7'], ['117278', '8.0'], ['93519', '10']]"
33939,Кантри,"[['168793', '10'], ['133467', '7.3'], ['133471', '7.3'], ['133469', '9.0'], ['102451', '8.0'], ['124710', '8.0']]"
30935,Джон Булл,"[['124758', '8.0'], ['121666', '7.3'], ['124710', '8.7'], ['124595', '8.3'], ['124610', '8.3'], ['124596', '8.7'], ['124557', '9.0'], ['91594', '8.3']]"
31895,Гогиели,"[['194378', '10'], ['178376', '3.0'], ['90694', '9.3']]"
31493,Генацвале,"[['177909', '4.3'], ['166963', '5.0'], ['155536', '3.7'], ['148615', '3.0'], ['137174', '10'], ['137036', '10'], ['136817', '10'], ['136618', '10'], ['136451', '10'], ['136278', '10'], ['136093', '10'], ['136012', '10'], ['135897', '10'], ['135555', '10'], ['116687', '8.0'], ['101770', '8.0'], ['114459', '9.7'], ['113897', '9.3'], ['90322', '9.3']]"
32617,Виктория,"[['139787', '9.0'], ['139722', '8.3'], ['139664', '8.0'], ['121588', '8.3'], ['106222', '7.0']]"
31203,Vаниль,"[['154818', '9.0'], ['153129', '9.0'], ['151279', '8.3'], ['153128', '9.0'], ['152210', '8.0'], ['151212', '7.7'], ['154817', '9.0'], ['149266', '8.7'], ['149270', '8.7'], ['110423', '7.0'], ['141504', '9.0'], ['101889', '7.0'], ['116543', '8.0'], ['101759', '7.7'], ['115704', '7.7'], ['84420', '8.0']]"
33712,Борго,"[['166396', '8.7'], ['160762', '5.0'], ['113075', '10']]"
35812,Boondock,"[['155983', '8.7'], ['152704', '8.0']]"
34207,"Бельгийская брассери 0,33","[['166313', '7.0'], ['157318', '9.7']]"
42895,Food Mama,"[['199614', '1.7'], ['195307', '2.3'], ['194855', '3.0'], ['184266', '5.3'], ['182345', '9.3'], ['172007', '7.7'], ['171653', '7.3'], ['171362', '8.0'], ['171079', '7.7'], ['170418', '8.0'], ['170078', '8.0'], ['169542', '7.7'], ['169183', '7.7'], ['168942', '8.0'], ['167889', '8.0'], ['167328', '8.7'], ['166913', '10'], ['166907', '5.7'], ['166687', '8.3'], ['166475', '8.0'], ['166268', '9.0'], ['165301', '10']]"
39954,Tutta la vita,"[['149422', '4.5'], ['149155', '10'], ['137108', '8.7']]"
37885,Lion's Head Pub,"[['120143', '9.0'], ['163044', '1.0']]"
31509,Гроссбир,"[['110740', '5.3'], ['90968', '8.0'], ['86753', '7.7']]"
31655,Gusto,"[['176467', '2.3'], ['166632', '9.3'], ['156913', '9.7'], ['158527', '10'], ['158009', '10'], ['158009', '10'], ['157083', '7.7'], ['157291', '10'], ['157095', '10'], ['157041', '2.0'], ['157018', '10'], ['156940', '10'], ['156938', '10'], ['156936', '10'], ['156916', '10'], ['156913', '10'], ['155389', '9.0'], ['1840', '3.7'], ['119153', '10'], ['86748', '8.0'], ['89699', '6.3'], ['87312', '7.0']]"
33716,Бакинский дворик,"[['167144', '2.7'], ['90929', '7.0'], ['101759', '7.3'], ['114535', '8.0'], ['114481', '7.3'], ['103373', '4.7'], ['89390', '8.7']]"
40417,Честерфилд,"[['170046', '1.0'], ['164148', '6.0'], ['159689', '4.0'], ['143782', '10'], ['119592', '8.3'], ['119588', '9.0'], ['107416', '8.0'], ['121062', '7.7'], ['121063', '7.7']]"
33784,Вареничная №1,"[['150025', '5.7'], ['133561', '10'], ['124770', '10'], ['94038', '4.7'], ['104856', '10'], ['100358', '4.5'], ['90537', '10'], ['89449', '10']]"
38166,Moscow — Delhi,"[['139361', '9.7'], ['138485', '1.0'], ['114978', '7.0'], ['103923', '2.7'], ['99764', '9.0'], ['98925', '6.7'], ['97208', '9.0']]"
41810,Prosecco Bar PR11,"[['159204', '2.0'], ['135269', '8.0'], ['119183', '8.3'], ['133646', '8.3'], ['135113', '8.3']]"
33896,Мишки,"[['172572', '4.7'], ['136211', '9.0'], ['135596', '8.0']]"
43650,Leffe Café,"[['151466', '4.7'], ['151078', '10']]"
34031,Che bazza!,"[['188634', '9.3'], ['95497', '10'], ['95051', '9.3'], ['92647', '10'], ['87667', '2.0'], ['85381', '1.7']]"
30768,Katie O’Shea’s,"[['114419', '1.3'], ['86738', '7.7'], ['86717', '10'], ['86677', '7.0'], ['86379', '9.0']]"
32768,Est caffe,"[['178210', '2.3'], ['176098', '10'], ['175638', '1.0'], ['116803', '10'], ['97639', '9.7'], ['92240', '8.0']]"
43559,Jeremy’s,"[['201959', '10'], ['200960', '1.0'], ['199906', '10'], ['170859', '2.7'], ['150370', '10'], ['150289', '9.0'], ['150274', '8.0'], ['149700', '9.7'], ['142968', '9.0']]"
31418,Jamie's Italian,"[['136403', '5.7'], ['116507', '7.7'], ['117212', '8.0'], ['86945', '8.3'], ['86344', '6.0'], ['85357', '8.7']]"
32059,Восточная сказка,"[['184354', '10']]"
41028,Сибирь сибирь,"[['184578', '5.3'], ['178548', '3.7'], ['177124', '3.0'], ['138262', '9.7'], ['137877', '10'], ['122024', '9.7'], ['121768', '8.7'], ['121161', '10'], ['118198', '10']]"
48663,Bluefin Nikkei,"[['202159', '9.7']]"
47147,Valdo Prosecco Bar,"[['196242', '10']]"
45874,Вермутерия Re,"[['191171', '3.3']]"
40947,Bolognetta,"[['150633', '9.5']]"
31101,Beer & Brut,"[['200175', '10'], ['194579', '10'], ['90315', '9.3'], ['87309', '10']]"
47214,B-29,"[['188418', '5.3']]"
42831,Avocado Queen,"[['173239', '9.0']]"
46453,а8густ,"[['180573', '3.3']]"
47040,Коллекция Seafood,"[['186834', '4.3']]"
42917,Мама будет рада,"[['180846', '2.7']]"
30548,Coin,"[['86501', '8.0']]"
42745,Инсам,"[['133785', '1.0']]"
44387,Астория,"[['164234', '10']]"
31918,Азия,"[['88440', '9.3']]"
33196,Авшар,"[['174733', '2.7']]"
39428,13°,"[['148263', '8.3'], ['148233', '8.3']]"
